motif_id	status	n_profiles	n_plots	error_hint
AC0350	OK	8	8	
AC0351	OK	8	8	
AC0352	OK	8	8	
AC0353	OK	8	8	
AC0354	OK	8	8	
AC0355	OK	8	8	
AC0356	OK	8	8	
AC0357	OK	8	8	
AC0358	OK	8	8	
AC0359	OK	8	8	
AC0360	OK	8	8	
AC0361	OK	8	8	
AC0362	OK	8	8	
AC0363	OK	8	8	
AC0364	FAILED	7	0	slurmstepd: error: *** JOB 28948327 ON compute-a-16-124 CANCELLED AT 2026-02-13T11:45:30 DUE TO TIME LIMIT *** 
AC0365	OK	8	8	
AC0366	OK	8	8	
AC0367	OK	8	8	
AC0368	OK	8	8	
AC0369	OK	8	8	
AC0370	PARTIAL	4	4	some presets skipped (low n)
AC0371	FAILED	5	0	slurmstepd: error: *** JOB 28948369 ON compute-b-16-181 CANCELLED AT 2026-02-13T11:47:02 DUE TO TIME LIMIT *** 
AC0372	OK	8	8	
AC0373	FAILED	5	0	slurmstepd: error: *** JOB 28948371 ON compute-b-16-189 CANCELLED AT 2026-02-13T11:47:02 DUE TO TIME LIMIT *** 
AC0374	OK	8	8	
AC0375	OK	8	8	
AC0376	SKIPPED	0	0	all presets below MIN_INSTANCES
AC0377	OK	8	8	
AC0378	OK	8	8	
AC0379	OK	8	8	
AC0380	OK	8	8	
AC0381	OK	8	8	
AC0382	OK	8	8	
AC0383	OK	8	8	
AC0384	OK	8	8	
AC0385	OK	8	8	
AC0386	OK	8	8	
AC0387	OK	8	8	
AC0388	OK	8	8	
AC0389	OK	8	8	
AC0390	OK	8	8	
AC0391	FAILED	6	0	slurmstepd: error: *** JOB 28948389 ON compute-a-16-154 CANCELLED AT 2026-02-13T11:47:02 DUE TO TIME LIMIT *** 
AC0392	PARTIAL	4	4	some presets skipped (low n)
AC0393	OK	8	8	
AC0394	OK	8	8	
AC0395	OK	8	8	
AC0396	OK	8	8	
AC0397	OK	8	8	
AC0398	OK	8	8	
AC0399	OK	8	8	
AC0400	OK	8	8	
AC0401	OK	8	8	
AC0402	OK	8	8	
AC0403	OK	8	8	
AC0404	OK	8	8	
AC0405	FAILED	2	0	slurmstepd: error: *** JOB 28948403 ON compute-a-16-127 CANCELLED AT 2026-02-13T11:47:02 DUE TO TIME LIMIT *** 
AC0406	OK	8	8	
AC0407	OK	8	8	
AC0408	OK	8	8	
AC0409	OK	8	8	
AC0410	OK	8	8	
AC0411	OK	8	8	
AC0412	FAILED	4	0	slurmstepd: error: *** JOB 28948410 ON compute-a-16-127 CANCELLED AT 2026-02-13T11:47:02 DUE TO TIME LIMIT *** 
AC0413	OK	8	8	
AC0414	OK	8	8	
AC0415	OK	8	8	
AC0416	FAILED	6	0	slurmstepd: error: *** JOB 28948414 ON compute-a-16-127 CANCELLED AT 2026-02-13T11:47:02 DUE TO TIME LIMIT *** 
AC0417	OK	8	8	
AC0418	OK	8	8	
AC0419	OK	8	8	
AC0420	OK	8	8	
AC0421	OK	8	8	
AC0422	OK	8	8	
AC0423	OK	8	8	
AC0424	OK	8	8	
AC0425	OK	8	8	
AC0426	OK	8	8	
AC0427	OK	8	8	
AC0428	OK	8	8	
AC0429	OK	8	8	
AC0430	OK	8	8	
AC0431	OK	8	8	
AC0432	OK	8	8	
AC0433	OK	8	8	
AC0434	OK	8	8	
AC0435	OK	8	8	
AC0436	OK	8	8	
AC0437	OK	8	8	
AC0438	OK	8	8	
AC0439	OK	8	8	
AC0440	OK	8	8	
AC0441	OK	8	8	
AC0442	OK	8	8	
AC0443	OK	8	8	
AC0444	OK	8	8	
AC0445	OK	8	8	
AC0446	OK	8	8	
AC0447	OK	8	8	
AC0448	OK	8	8	
AC0449	OK	8	8	
AC0450	OK	8	8	
AC0451	OK	8	8	
AC0452	OK	8	8	
AC0454	OK	8	8	
AC0455	OK	8	8	
AC0456	OK	8	8	
AC0457	OK	8	8	
AC0458	OK	8	8	
AC0459	OK	8	8	
AC0460	PARTIAL	4	4	some presets skipped (low n)
AC0461	OK	8	8	
AC0462	OK	8	8	
AC0463	OK	8	8	
AC0464	OK	8	8	
AC0465	OK	8	8	
AC0466	OK	8	8	
AC0467	OK	8	8	
AC0468	OK	8	8	
AC0469	OK	8	8	
AC0470	OK	8	8	
AC0471	OK	8	8	
AC0472	OK	8	8	
AC0473	OK	8	8	
AC0474	OK	8	8	
AC0475	OK	8	8	
AC0476	PARTIAL	4	4	some presets skipped (low n)
AC0477	OK	8	8	
AC0478	OK	8	8	
AC0479	OK	8	8	
AC0480	OK	8	8	
AC0481	OK	8	8	
AC0482	OK	8	8	
AC0483	OK	8	8	
AC0484	OK	8	8	
AC0485	OK	8	8	
AC0486	OK	8	8	
AC0487	OK	8	8	
AC0488	OK	8	8	
AC0489	OK	8	8	
AC0490	OK	8	8	
AC0491	OK	8	8	
AC0492	OK	8	8	
AC0493	OK	8	8	
AC0494	OK	8	8	
AC0495	FAILED	6	0	slurmstepd: error: *** JOB 28948557 ON compute-a-16-159 CANCELLED AT 2026-02-13T11:49:03 DUE TO TIME LIMIT *** 
AC0496	OK	8	8	
AC0497	OK	8	8	
AC0498	OK	8	8	
AC0499	FAILED	3	0	slurmstepd: error: *** JOB 28948561 ON compute-a-16-160 CANCELLED AT 2026-02-13T11:49:03 DUE TO TIME LIMIT *** 
AC0500	OK	8	8	
AC0501	OK	8	8	
AC0502	FAILED	5	0	slurmstepd: error: *** JOB 28948564 ON compute-a-16-160 CANCELLED AT 2026-02-13T11:49:03 DUE TO TIME LIMIT *** 
AC0503	OK	8	8	
AC0504	FAILED	3	0	slurmstepd: error: *** JOB 28948566 ON compute-a-16-160 CANCELLED AT 2026-02-13T11:49:03 DUE TO TIME LIMIT *** 
AC0505	FAILED	7	0	slurmstepd: error: *** JOB 28948567 ON compute-a-16-160 CANCELLED AT 2026-02-13T11:49:03 DUE TO TIME LIMIT *** 
AC0506	OK	8	8	
AC0507	OK	8	8	
AC0508	OK	8	8	
AC0509	OK	8	8	
AC0510	OK	8	8	
AC0511	OK	8	8	
AC0512	OK	8	8	
AC0513	OK	8	8	
AC0514	OK	8	8	
AC0515	OK	8	8	
AC0516	OK	8	8	
AC0517	OK	8	8	
AC0518	OK	8	8	
AC0519	OK	8	8	
AC0520	FAILED	4	0	slurmstepd: error: *** JOB 28948605 ON compute-b-16-200 CANCELLED AT 2026-02-13T11:50:33 DUE TO TIME LIMIT *** 
AC0521	OK	8	8	
AC0522	OK	8	8	
AC0523	OK	8	8	
AC0524	FAILED	4	0	slurmstepd: error: *** JOB 28948609 ON compute-b-16-184 CANCELLED AT 2026-02-13T11:50:33 DUE TO TIME LIMIT *** 
AC0525	FAILED	4	0	slurmstepd: error: *** JOB 28948610 ON compute-b-16-187 CANCELLED AT 2026-02-13T11:50:33 DUE TO TIME LIMIT *** 
AC0526	OK	8	8	
AC0527	OK	8	8	
AC0528	OK	8	8	
AC0529	OK	8	8	
AC0530	OK	8	8	
AC0531	OK	8	8	
AC0532	OK	8	8	
AC0533	OK	8	8	
AC0534	OK	8	8	
AC0535	OK	8	8	
AC0536	OK	8	8	
AC0537	OK	8	8	
AC0538	FAILED	6	0	slurmstepd: error: *** JOB 28948623 ON compute-a-16-152 CANCELLED AT 2026-02-13T11:50:33 DUE TO TIME LIMIT *** 
AC0539	OK	8	8	
AC0540	OK	8	8	
AC0541	OK	8	8	
AC0542	OK	8	8	
AC0543	FAILED	3	0	slurmstepd: error: *** JOB 28948628 ON compute-a-17-59 CANCELLED AT 2026-02-13T11:50:33 DUE TO TIME LIMIT *** 
AC0544	OK	8	8	
AC0545	OK	8	8	
AC0546	FAILED	3	0	slurmstepd: error: *** JOB 28948631 ON compute-a-17-59 CANCELLED AT 2026-02-13T11:50:33 DUE TO TIME LIMIT *** 
AC0547	OK	8	8	
AC0548	PARTIAL	4	4	some presets skipped (low n)
AC0549	OK	8	8	
AC0550	OK	8	8	
AC0551	OK	8	8	
AC0552	OK	8	8	
